name	bin_id	collection_id	profile_db_path	contigs_db_path
Azfil_lab_Burkholderiales	Burkholderiales	refined	../data/MAG_anvi_dbs/Azfil_lab_PROFILE.db	../data/MAG_anvi_dbs/Azfil_lab_contigs.db
Azfil_lab_Ralstonia_1	Ralstonia_1	refined	../data/MAG_anvi_dbs/Azfil_lab_PROFILE.db	../data/MAG_anvi_dbs/Azfil_lab_contigs.db
Azfil_minus_cyano_Ralstonia_maybewild	Ralstonia_maybewild	refined	../data/MAG_anvi_dbs/Azfil_minus_cyano_PROFILE.db	../data/MAG_anvi_dbs/Azfil_minus_cyano_contigs.db
Azfil_wild_Comamonadaceae	Comamonadaceae	refined	../data/MAG_anvi_dbs/Azfil_wild_PROFILE.db	../data/MAG_anvi_dbs/Azfil_wild_contigs.db
Azfil_wild_Curvibacter	Curvibacter	refined	../data/MAG_anvi_dbs/Azfil_wild_PROFILE.db	../data/MAG_anvi_dbs/Azfil_wild_contigs.db
Azfil_wild_Polaromonas	Polaromonas	refined	../data/MAG_anvi_dbs/Azfil_wild_PROFILE.db	../data/MAG_anvi_dbs/Azfil_wild_contigs.db
Azfil_wild_rest_1	rest_1	refined	../data/MAG_anvi_dbs/Azfil_wild_PROFILE.db	../data/MAG_anvi_dbs/Azfil_wild_contigs.db
Azfil_wild_rest_2	rest_2	refined	../data/MAG_anvi_dbs/Azfil_wild_PROFILE.db	../data/MAG_anvi_dbs/Azfil_wild_contigs.db
Azfil_wild_rest_5	rest_5	refined	../data/MAG_anvi_dbs/Azfil_wild_PROFILE.db	../data/MAG_anvi_dbs/Azfil_wild_contigs.db
Azmex_Burkholderiales1	Burkholderiales1	refined	../data/MAG_anvi_dbs/Azmex_PROFILE.db	../data/MAG_anvi_dbs/Azmex_contigs.db
Azmex_Burkholderiales2	Burkholderiales2	refined	../data/MAG_anvi_dbs/Azmex_PROFILE.db	../data/MAG_anvi_dbs/Azmex_contigs.db
Azmex_Herbaspirillum	Herbaspirillum	refined	../data/MAG_anvi_dbs/Azmex_PROFILE.db	../data/MAG_anvi_dbs/Azmex_contigs.db
Azmex_rest_1	rest_1	refined	../data/MAG_anvi_dbs/Azmex_PROFILE.db	../data/MAG_anvi_dbs/Azmex_contigs.db
Azmic_Herbaspirillum	Herbaspirillum	refined	../data/MAG_anvi_dbs/Azmic_PROFILE.db	../data/MAG_anvi_dbs/Azmic_contigs.db
Azmic_rest3	rest3	refined	../data/MAG_anvi_dbs/Azmic_PROFILE.db	../data/MAG_anvi_dbs/Azmic_contigs.db
Aznil_Burkholderiaceae	Burkholderiaceae	refined	../data/MAG_anvi_dbs/Aznil_PROFILE.db	../data/MAG_anvi_dbs/Aznil_contigs.db
Aznil_Comamonadaceae	Comamonadaceae	refined	../data/MAG_anvi_dbs/Aznil_PROFILE.db	../data/MAG_anvi_dbs/Aznil_contigs.db
Aznil_betaproteobactera	betaproteobactera	refined	../data/MAG_anvi_dbs/Aznil_PROFILE.db	../data/MAG_anvi_dbs/Aznil_contigs.db
Aznil_rest_4	rest_4	refined	../data/MAG_anvi_dbs/Aznil_PROFILE.db	../data/MAG_anvi_dbs/Aznil_contigs.db
Aznil_rest_5	rest_5	refined	../data/MAG_anvi_dbs/Aznil_PROFILE.db	../data/MAG_anvi_dbs/Aznil_contigs.db
Azcar1_Burkholderiales	Burkholderiales	refined	../data/MAG_anvi_dbs/Azcar1_PROFILE.db	../data/MAG_anvi_dbs/Azcar1_contigs.db
