Sample	bins	taxon	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy	Marker_lineage	#_genomes	#_markers	#_marker_sets	0	1	2	3	4	5+	Completeness	Contamination	Strain_heterogeneity	classification	reason	lineage	lineage_scores	superkingdom	phylum	class	order	family	genus	species
Azrub	Asticcacaulis	Unknown	4288487	25	238143	57.84335845755424	100.0	0.0	c__Alphaproteobacteria_(UID3422)	26	529	308	0	526	3	0	0	0	100.00	0.55	33.33	taxid_assigned	based_on_3604/3777_ORFs	1;131567;2;1224;28211;204458;76892;76890	1.00;1.00;0.99;0.97;0.93;0.86;0.86;0.83	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	no_support
Azrub	Betaproteobacteria	Unknown	3273187	9	565356	64.35553253292748	98.59154929577464	0.0	o__Burkholderiales_(UID4000)	193	427	214	1	424	2	0	0	0	99.53	0.62	50.00	taxid_assigned	based_on_3058/3134_ORFs	1;131567;2;1224;28216;80840	1.00;1.00;0.97;0.91;0.82;0.38	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	no_support	no_support	no_support
Azrub	Methylovorus	Unknown	2995691	9	597616	56.00999971613605	100.0	2.816901408450704	c__Betaproteobacteria_(UID3888)	323	383	233	1	382	0	0	0	0	99.57	0.00	0.00	taxid_assigned	based_on_2720/2764_ORFs	1;131567;2;1224;28216;32003;32011;81682	1.00;1.00;1.00;0.99;0.95;0.93;0.92;0.88	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Methylovorus	no_support
Azrub	Rhizobiales	Unknown	5276681	57	176151	60.53512609052491	95.77464788732394	0.0	o__Rhizobiales_(UID3449)	345	431	258	11	417	3	0	0	0	99.06	0.42	33.33	taxid_assigned	based_on_4886/5105_ORFs	1;131567;2;1224;28211;356	1.00;0.99;0.93;0.91;0.85;0.66	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	no_support	no_support	no_support
Azrub	Rhizobiales2	Unknown	5091194	36	265780	60.66086587283833	80.28169014084507	1.408450704225352	o__Rhizobiales_(UID3449)	345	431	258	15	408	8	0	0	0	99.81	1.49	50.00	taxid_assigned	based_on_4828/4901_ORFs	1;131567;2;1224;28211;356	1.00;1.00;0.99;0.99;0.98;0.96	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	no_support	no_support	no_support
Azrub	Rhizobiales3	Unknown	4556739	22	400371	68.15702084771623	100.0	1.408450704225352	o__Rhizobiales_(UID3654)	92	481	319	3	478	0	0	0	0	99.34	0.00	0.00	taxid_assigned	based_on_4291/4348_ORFs	1;131567;2;1224;28211;356	1.00;1.00;1.00;1.00;0.98;0.97	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	no_support	no_support	no_support
Azrub	Rhizobiales4	Unknown	4666661	25	279554	62.32956569519751	94.36619718309859	0.0	f__Rhizobiaceae_(UID3563)	81	808	337	37	760	10	1	0	0	96.64	1.48	7.69	taxid_assigned	based_on_4326/4386_ORFs	1;131567;2;1224;28211;356	1.00;1.00;0.99;0.99;0.97;0.92	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	no_support	no_support	no_support
Azrub	Rhizobiales5	Unknown	2451508	496	5239	61.41358080469207	45.070422535211264	1.408450704225352	o__Rhizobiales_(UID3449)	345	431	258	291	139	1	0	0	0	29.38	0.19	0.00	taxid_assigned	based_on_2905/3089_ORFs	1;131567;2;1224;28211;356;82115;227290;379;2067451	1.00;1.00;0.99;0.99;0.98;0.97;0.44;0.44;0.37;0.33	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium_sp._TH135
Azrub	Trichormus	Unknown	4700441	368	18731	38.35079734022149	97.1830985915493	2.816901408450704	p__Cyanobacteria_(UID2189)	82	579	450	8	570	1	0	0	0	98.33	0.22	100.00	taxid_assigned	based_on_5117/5237_ORFs	1;131567;2;1783272;1798711;1117;1161;1162;264688;1164	1.00;1.00;1.00;1.00;1.00;1.00;0.98;0.86;0.81;0.80	Bacteria	Cyanobacteria	NA	Nostocales	Nostocaceae	Trichormus	Trichormus_azollae
Azrub	alphaproteobacteria	Unknown	6299712	49	267990	64.45609861530741	100.0	5.633802816901408	c__Alphaproteobacteria_(UID3305)	564	348	229	0	346	2	0	0	0	100.00	0.45	0.00	taxid_assigned	based_on_5328/5532_ORFs	1;131567;2;1224;28211	1.00;1.00;1.00;0.99;0.97	Bacteria	Proteobacteria	Alphaproteobacteria	no_support	no_support	no_support	no_support
